;sp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hoschachten hat per se keine Feuchtwiese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Asteracea sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Athyrium filix-femina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Betula pendula juv.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Bistorta officinalis;;;;;;;0,3;11;10;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;17;0,3;16;;;;;;;;;;;;;;;;;;;;;5;12;;;;;;;;;;;;;;;;;;;;;;
k;Botrychium matricariifolium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Callitriche palustris agg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Caltha palustris ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Campanula rotundifolia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Cardamine amara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Cardamine pratensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Cerastium holosteoides;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Chaerophyllum hirsutum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;8;;;;;;;;;;;;;0,1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Chrysosplenium alternifolium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Chrysosplenium oppositifolium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Circaea alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Cirsium palustre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Cirsium sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Crepis mollis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Crepis paludosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;23;5;35;1;57;;;;;;;;;;;0,5;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Dactylorhiza fuchsii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Dryopteris dilatata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Dryopteris spec.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Dryopteris carthusiana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Epilobium angustifolium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;24;0,3;29;1;32
k;Epilobium montanum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Epilobium palustre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Epilobium sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Equisetum sylvaticum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Fagus sylvatica juv.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Farn indet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Ficaria verna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Fragaria vesca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Galeopsis tetrahit;0,5;15;0,3;19;;;0,5;27;;;;;;;;;;;;;;;;;;;;;2;35;;;0,5;11;0,1;10;0,1;11;0,3;19;5;11;;;;;;;;;;;0,3;8;;;1;13;0,5;14;;;;;3;26;0,3;19;;;[+];;;;;;;;;;;;;;;
k;Galium palustre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;0,5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Galium saxatile;3;15;0,5;13;2;16;2;6;;;7;6;33;9;25;10;15;7;18;19;25;10;10;13;35;8;25;5;15;19;15;8;3;11;30;7;;;;;1;31;20;24;9;8;19;6;20;9;47;5;3;7;10;21;0,3;8;25;9;2;6;34;9;15;17;10;16;50;11;40;5;20;12;35;6;10;15;20;16;17;10;12;11;10;17
k;Galium uliginosum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Geranium sylvaticum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Glechoma hederacea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Gnaphalium sylvaticum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Heracleum sphondylium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Hieracium lachenalii;;;;;;;;;;;;;3;50;;;0,1;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Hieracium lactucella;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Homogyne alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;
k;Hypericum maculatum;2;22;10;36;20;15;;;5;25;;;;;;;;;;;;;23;38;5;28;;;7;29;3;21;15;36;4;32;;;;;;;;;;;;;;;;;1;15;10;17;0,3;8;1;35;;;;;12;24;5;29;;;;;1;16;;;7;39;20;25;25;32;27;27;27;94
k;Impatiens glandulifera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Impatiens noli-tangere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Lychnis flos-cuculi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Lycopodium annotinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Lysimachia nemorum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Lysimachia vulgaris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Maianthemum bifolium;;;;;;;;;;;0,5;3;0,5;3;3;3;0,5;7;0,3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;9;0,1;4;;;0,1;5;2;2;1;4;;;;;0,1;5;0,5;11;0,9;7;7;1
k;Mentha arvensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Myosotis nemorosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Myosotis palustris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;23;5;30;2;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Oxalis acetosella;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Pedicularis sylvatica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Picea abies juv.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Pilosella officinarum;;;;;;;;;;;43;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Pinguicula vulgaris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Plantago lanceolata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Polygonatum verticillatum;;;;;;;;;;;;;;;1;7;;;0,5;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Potentilla erecta;1;13;2;17;1;11;0,5;7;10;18;1;6;;;;;;;;;2;11;;;;;0,1;4;;;;;1;14;;;;;;;;;;;;;;;;;;;;;1;15;0,3;11;0,1;13;;;;;5;15;4;21;0,5;12;[+];;2;12;1;7;2;13;4;8;0,1;12;0,1;12;;
k;Prunella vulgaris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Ranunculus acris;0,1;11;2;36;1;11;;;8;45;;;;;;;;;;;;;2;10;2;14;;;;;;;;;0,3;13;;;;;;;;;;;;;;;;;10;28;0,5;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Ranunculus flammula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Ranunculus platanifolius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;3;;;;;;
k;Ranunculus repens;0,3;10;1;;3;12;;;0,3;18;;;;;;;;;;;;;0,5;13;0,3;8;;;;;;;;;;;2;11;10;11;;;;;;;;;;;;;2;12;3;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Rhinanthus minor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Rubus idaeus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Rubus idaeus (juv.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Rumex acetosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;
k;Rumex acetosella;0,1;12;12;;5;8;15;7;0,1;15;;;3;11;3;17;5;25;1;6;;;;61;1;10;8;31;;;;;;;5;10;;;;;;;0,5;4;0,3;6;1;24;1;11;;;;;;11;27;31;17;14;;;1;2;1;12;3;13;7;19;5;16;7;27;5;16;1;19;0,5;10;;;0,5;12;1;26
k;Rumex arifolius;0,5;14;0,5;20;;;;;;;;;;;;;;;;;;;;;;;;;3;77;1;6;5;73;1;11;0,5;49;5;35;23;27;;;;;;;;;;;0,5;7;3;21;1;9;0,5;16;;;;;2;12;7;34;;;;;;;;;0,3;6;;;0,3;7;1;34;0,3;8
k;Rumex obtusifolius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Rumex sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Senecio ovatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Senecio subalpinus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Silene dioica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Soldanella montana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Stellaria alsine;0,5;30;;;0,5;40;;;;;;;;;;;;;;;;;0,5;31;;;;;;;1;7;;;0,3;26;1;9;0,3;16;0,1;24;;;;;;;;;;;;;0,1;24;;;;;;;;;;;;;;;;;;;;;0,1;16;;;;;;;;
k;Stellaria graminea;1;30;10;43;;;0,3;26;1;46;;;;;0,5;20;;;;;0,3;19;2;25;1;22;0,5;17;2;32;0,5;24;2;30;2;40;;;;;;;;;;;;;;;;;0,5;22;0,3;17;;;0,5;34;;;;;0,5;22;1;35;;;0,5;7;1;19;;;2;23;1;20;1;25;4;29;2;31
k;Stellaria nemorum;;;0,1;14;;;0,5;21;;;;;;;;;;;;;;;;;;;;;;;3;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;24;0,3;11;0,1;5;1;22;;;;;;;;;;;0,3;13;;
k;Stellaria spec.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Soldanella montana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Taraxacum officinale;;;;;;;;;;;;;;;;;;;;;;;0,1;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Tephroseris crispa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[1];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Trifolium pratense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Trifolium repens;;;;;;;;;0,3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Trientalis europaea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Urtica dioica ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Vaccinicum myrtillus;;;;;;;;;;;3;19;0,1;7;;;;;;;0,5;9;;;;;;;;;;;;;;;;;;;;;2;30;70;39;30;37;30;15;3;15;;;;;;;;;42;28;;;;;;;;;;;;;;;10;17;;;;;;;14;34
k;Vaccinium vitis-idea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Valeriana dioica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Veronica beccabunga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Veronica chamaedrys;5;17;12;17;6;11;0,3;7;2;14;;;;;;;;;;;;;3;10;2;12;1;6;3;14;3;17;12;11;2;12;;;;;;;;;;;;;;;;;3;11;5;11;0,5;9;0,5;7;;;;;5;19;1;17;;;;;1;11;;;;;0,5;16;0,3;8;1;10;1;14
k;Veronica officinalis;;;0,5;9;0,5;14;1;13;3;8;0,5;8;5;16;13;13;5;11;15;10;12;12;2;16;5;12;10;8;0,3;16;0,5;8;0,1;1;0,5;4;;;;;;;;;;;;;;;;;;;3;11;;;1;8;;;0,1;2;1;16;;;0,5;9;5;10;7;11;4;14;6;9;13;12;7;16;3;19;3;17
k;Veronica scutellata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Viola palustris;0,1;4;;;;;;;;9;;;;;;;;;;;;;1;17;;;0,1;1;0,1;7;0,3;7;;;;;7;9;6;13;2;9;;;;;;;;;;;10;6;10;11;;;0,3;4;;;;;;;;;;;;;0,1;3;0,1;3;;;;;;;;;;
k;Viola reichenbachiana;;;;;0,5;4;;;;;;;;;;;;;;;;;1;10;;4;;;1;4;1;12;1;13;0,3;11;;;;;;;;;;;;;;;;;15;14;0,5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Viola sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;Willemetia stipitata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;6;1;12;;;;;;;;;;;;;;;1;9;0,5;8;;;;;;;;;;;;
m;Climatium dendroides;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;Pellia epiphylla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;Plagiomnium undulatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;Polytrichum sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;Sphagnum sec. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s;Picea abies S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s;Vaccinium myrtillus S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Anmerkung:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
